day,start time 3h interval (utc),location,height above ground in m,u-component wind in m/s,v-component wind in m/s,temperature in °C,global surface radiation in W/m2
8,06:00,1,2,-0.39,0.45,1.95,410
8,09:00,1,2,-0.99,0.00,9.85,590
8,12:00,1,2,-1.47,-0.90,12.75,680
8,15:00,1,2,-2.20,-1.19,12.45,448
8,18:00,1,2,-2.04,-0.44,2.95,0
8,21:00,1,2,-1.73,-1.11,0.25,0
9,00:00,1,2,-2.43,0.15,0.15,0
9,03:00,1,2,-1.68,0.13,-1.65,11
9,06:00,1,2,-0.54,0.03,3.45,410
9,09:00,1,2,-1.10,1.04,11.05,582
9,12:00,1,2,1.03,0.44,16.75,670
9,15:00,1,2,2.61,0.18,15.45,447
9,18:00,1,2,0.55,-0.38,2.25,0
9,21:00,1,2,-0.27,-0.50,1.05,0
10,00:00,1,2,-0.84,1.60,3.55,0
10,03:00,1,2,0.71,1.83,3.65,11
10,06:00,1,2,1.13,1.75,5.95,400
10,09:00,1,2,1.88,1.00,14.65,571
10,12:00,1,2,1.17,0.40,18.45,640
10,15:00,1,2,1.49,-0.35,17.45,413
10,18:00,1,2,-0.61,-1.42,8.35,0
10,21:00,1,2,3.23,-0.17,9.15,0
11,00:00,1,2,1.43,0.62,6.95,0
11,03:00,1,2,1.09,2.28,5.75,7
11,06:00,1,2,0.82,1.88,7.55,310
11,09:00,1,2,3.97,2.54,11.25,526
11,12:00,1,2,4.24,1.34,13.15,420
11,15:00,1,2,4.31,0.50,11.15,314
11,18:00,1,2,1.18,1.13,6.45,0
11,21:00,1,2,1.99,0.06,5.15,0
12,00:00,1,2,1.18,0.17,2.85,0
12,03:00,1,2,0.46,0.76,1.55,11
12,06:00,1,2,0.34,1.43,7.75,340
12,09:00,1,2,1.28,0.13,12.55,539
12,12:00,1,2,1.95,-0.11,15.65,570
12,15:00,1,2,2.02,-0.03,15.35,396
12,18:00,1,2,0.40,-1.25,6.95,0
12,21:00,1,2,0.81,-0.87,4.45,0
13,00:00,1,2,1.68,0.30,4.24,0
13,03:00,1,2,2.08,-0.41,5.55,13
13,06:00,1,2,1.81,-0.07,8.25,410
13,09:00,1,2,2.32,-2.15,12.85,587
13,12:00,1,2,3.12,-1.10,15.85,680
13,15:00,1,2,3.98,-1.74,15.35,450
13,18:00,1,2,1.79,-1.94,9.15,0
13,21:00,1,2,1.60,-2.07,6.85,0
14,00:00,1,2,1.69,-1.46,4.65,0
14,03:00,1,2,1.63,0.13,2.95,10
14,06:00,1,2,1.54,0.31,7.15,420
14,09:00,1,2,1.71,0.04,13.45,595
14,12:00,1,2,1.65,-1.32,16.85,680
14,15:00,1,2,1.74,-0.75,16.65,460
14,18:00,1,2,1.01,0.27,6.25,0
14,21:00,1,2,0.35,0.86,4.25,0
15,00:00,1,2,-0.35,1.71,3.85,0
15,03:00,1,2,0.29,1.17,2.55,20
15,06:00,1,2,-0.50,1.87,8.95,430
15,09:00,1,2,-0.49,1.53,15.95,610
15,12:00,1,2,0.79,1.75,20.35,700
15,15:00,1,2,1.62,1.75,19.65,473
15,18:00,1,2,0.94,1.34,9.75,0
15,21:00,1,2,1.63,1.12,8.05,0
16,00:00,1,2,1.60,1.31,8.32,0
16,03:00,1,2,1.92,1.87,8.40,16
16,06:00,1,2,1.63,1.79,9.65,370
16,09:00,1,2,2.32,1.25,16.25,450
16,12:00,1,2,1.65,0.47,17.95,500
16,15:00,1,2,2.60,0.01,18.15,318
16,18:00,1,2,1.86,1.32,11.45,0
16,21:00,1,2,1.17,0.85,9.75,0
17,00:00,1,2,1.81,1.57,9.65,0
17,03:00,1,2,2.24,1.60,8.95,16
17,06:00,1,2,2.30,1.76,9.35,320
17,09:00,1,2,3.87,1.10,11.55,180
17,12:00,1,2,1.60,-0.32,9.65,140
17,15:00,1,2,2.25,-0.47,10.85,95
17,18:00,1,2,0.03,-2.31,8.45,0
17,21:00,1,2,-0.31,-2.00,5.95,0
18,00:00,1,2,-0.44,-2.06,3.65,0
18,03:00,1,2,-2.70,-1.53,1.35,18
18,06:00,1,2,-2.21,-0.99,2.25,450
18,09:00,1,2,-5.02,-2.28,6.35,630
18,12:00,1,2,-4.01,-2.29,8.85,710
18,15:00,1,2,-5.00,-1.85,8.65,484
18,18:00,1,2,-1.79,-0.51,3.05,0
18,21:00,1,2,-3.28,-1.07,1.45,0
19,00:00,1,2,-3.96,-1.23,0.65,0
19,03:00,1,2,-4.35,-0.45,0.35,21
19,06:00,1,2,-3.95,-0.31,2.55,470
19,09:00,1,2,-5.32,-0.53,8.15,648
19,12:00,1,2,-3.66,-0.15,12.45,720
19,15:00,1,2,-4.58,-0.83,12.85,493
19,18:00,1,2,-2.37,-1.25,6.95,0
19,21:00,1,2,-3.03,-1.04,4.15,0
20,00:00,1,2,-3.34,-0.83,2.55,0
20,03:00,1,2,-2.26,-0.80,0.65,21
20,06:00,1,2,-1.53,-0.43,4.35,460
20,09:00,1,2,-3.16,-1.22,11.15,609
20,12:00,1,2,-1.75,-2.28,14.55,710
20,15:00,1,2,-3.03,-3.12,13.85,486
20,18:00,1,2,-0.84,-1.68,6.95,0
20,21:00,1,2,-1.59,-1.83,4.85,1
21,00:00,1,2,-2.68,-1.39,4.72,0
21,03:00,1,2,-2.24,-1.05,3.25,22
21,06:00,1,2,-1.31,-0.94,6.45,470
21,09:00,1,2,-3.06,-1.53,13.25,644
21,12:00,1,2,-2.56,-1.55,16.85,720
21,15:00,1,2,-3.05,-1.35,16.95,496
21,18:00,1,2,-2.39,-1.43,10.45,0
21,21:00,1,2,-1.14,-1.91,6.05,1
22,00:00,1,2,-1.40,-1.08,4.50,0
22,03:00,1,2,-0.61,-0.79,1.65,23
22,06:00,1,2,-0.21,-0.65,10.75,480
22,09:00,1,2,0.70,-0.39,16.85,647
22,12:00,1,2,2.40,-1.99,18.85,720
22,15:00,1,2,2.44,-3.41,16.75,498
22,18:00,1,2,-1.52,-2.93,9.65,0
22,21:00,1,2,-0.95,-1.89,3.35,1
23,00:00,1,2,-1.96,-0.78,1.09,0
23,03:00,1,2,-0.66,-0.04,-2.67,24
23,06:00,1,2,-0.56,0.06,4.25,490
23,09:00,1,2,-0.15,0.34,12.35,660
23,12:00,1,2,-0.33,-1.87,14.75,730
23,15:00,1,2,0.09,-2.15,14.45,503
23,18:00,1,2,-2.13,-1.87,7.65,0
23,21:00,1,2,-1.51,-0.20,1.05,1
24,00:00,1,2,-0.53,1.21,-0.65,0
24,03:00,1,2,0.40,1.31,-0.15,25
24,06:00,1,2,-0.20,1.08,5.05,490
24,09:00,1,2,1.70,0.61,13.65,660
24,12:00,1,2,2.19,0.01,17.35,730
24,15:00,1,2,2.21,-0.79,16.95,506
24,18:00,1,2,0.28,-1.57,7.35,0
24,21:00,1,2,-0.57,-1.02,3.15,1
25,00:00,1,2,-0.48,0.69,2.52,0
25,03:00,1,2,-0.03,1.96,5.42,5
25,06:00,1,2,1.82,1.59,8.25,110
25,09:00,1,2,2.85,2.01,12.25,227
25,12:00,1,2,3.30,2.16,13.15,320
25,15:00,1,2,3.36,2.38,12.75,254
25,18:00,1,2,0.33,1.40,9.55,0
25,21:00,1,2,1.70,2.00,8.95,1
26,00:00,1,2,1.81,2.26,8.15,0
26,03:00,1,2,0.98,2.14,6.45,24
26,06:00,1,2,0.16,1.52,9.25,460
26,09:00,1,2,1.35,1.88,13.95,617
26,12:00,1,2,0.87,1.72,16.15,570
26,15:00,1,2,0.91,2.04,16.35,374
26,18:00,1,2,-0.75,0.40,10.15,0
26,21:00,1,2,-0.02,-0.15,7.25,1
27,00:00,1,2,0.72,0.40,4.75,0
27,03:00,1,2,1.09,-0.07,4.45,12
27,06:00,1,2,0.45,-0.95,10.85,360
27,09:00,1,2,-0.84,-2.56,14.05,444
27,12:00,1,2,-2.33,-0.74,14.45,500
27,15:00,1,2,-0.98,-1.94,14.45,350
27,18:00,1,2,0.39,-3.17,11.35,0
27,21:00,1,2,0.93,-3.29,9.45,0
28,00:00,1,2,2.53,-3.98,6.45,0
28,03:00,1,2,2.94,-2.41,4.65,7
28,06:00,1,2,3.72,-2.07,4.15,130
28,09:00,1,2,3.19,-3.43,4.75,354
28,12:00,1,2,3.16,-2.62,8.05,530
28,15:00,1,2,3.40,-2.42,9.15,406
28,18:00,1,2,0.99,-0.56,2.55,0
28,21:00,1,2,0.39,-1.15,-1.05,2
29,00:00,1,2,-1.56,1.03,-0.05,0
29,03:00,1,2,-1.13,-0.57,-1.25,27
29,06:00,1,2,-1.64,-1.03,3.85,480
29,09:00,1,2,-3.48,0.04,9.25,644
29,12:00,1,2,-3.26,0.56,12.65,690
29,15:00,1,2,-0.85,1.16,13.75,455
29,18:00,1,2,1.94,-0.79,8.05,0
29,21:00,1,2,1.23,-1.20,4.75,1
30,00:00,1,2,2.35,0.27,4.75,0
30,03:00,1,2,1.45,1.17,3.05,27
30,06:00,1,2,1.23,1.46,6.85,490
30,09:00,1,2,3.42,1.55,10.95,660
30,12:00,1,2,3.78,1.83,13.25,630
30,15:00,1,2,4.53,1.49,11.65,364
30,18:00,1,2,1.11,0.64,6.55,0
30,21:00,1,2,0.36,1.92,5.65,0
31,00:00,1,2,0.70,2.57,5.45,0
31,03:00,1,2,0.96,1.24,5.55,2
31,06:00,1,2,-1.18,1.55,6.25,30
31,09:00,1,2,-0.98,1.04,6.85,37
31,12:00,1,2,0.46,0.73,7.35,50
31,15:00,1,2,1.20,1.68,8.85,30
31,18:00,1,2,1.88,0.70,9.15,0
31,21:00,1,2,1.62,-0.10,8.45,0
32,00:00,1,2,1.76,-0.29,8.05,0
32,03:00,1,2,1.56,-0.03,7.65,13
32,06:00,1,2,1.66,-0.45,7.95,170
32,09:00,1,2,2.77,-0.27,10.35,461
32,12:00,1,2,2.91,-0.59,14.15,540
32,15:00,1,2,2.56,-0.60,14.45,343
32,18:00,1,2,0.08,0.96,9.35,0
32,21:00,1,2,0.00,1.75,8.55,1
33,00:00,1,2,-0.52,2.57,9.25,0
33,03:00,1,2,1.96,3.79,10.35,4
33,06:00,1,2,4.21,1.28,11.75,150
33,09:00,1,2,2.30,2.58,12.85,119
33,12:00,1,2,1.61,3.28,13.85,600
33,15:00,1,2,4.93,3.85,17.35,406
33,18:00,1,2,1.43,0.69,13.25,0
33,21:00,1,2,1.47,1.72,11.95,2
34,00:00,1,2,2.64,1.84,11.95,0
34,03:00,1,2,1.95,1.00,11.15,10
34,06:00,1,2,-0.24,2.08,11.95,150
34,09:00,1,2,1.27,2.97,14.05,339
34,12:00,1,2,1.20,2.13,17.75,500
34,15:00,1,2,-0.68,1.79,18.25,309
34,18:00,1,2,-1.55,0.77,13.15,10
34,21:00,1,2,-1.12,1.28,9.55,2
35,00:00,1,2,-0.27,1.82,11.65,0
35,03:00,1,2,-0.82,3.38,13.45,13
35,06:00,1,2,-1.24,2.16,14.55,240
35,09:00,1,2,1.36,3.44,17.45,445
35,12:00,1,2,6.52,0.68,19.45,370
35,15:00,1,2,2.78,-0.54,14.85,201
35,18:00,1,2,1.99,0.32,11.85,0
35,21:00,1,2,1.66,0.95,9.45,1
36,00:00,1,2,0.49,0.48,8.95,0
36,03:00,1,2,0.56,0.47,9.15,5
36,06:00,1,2,0.24,1.34,10.05,320
36,09:00,1,2,2.62,1.57,12.25,580
36,12:00,1,2,2.83,2.53,15.95,750
36,15:00,1,2,4.76,1.41,14.85,529
36,18:00,1,2,1.39,-0.58,9.55,10
36,21:00,1,2,2.09,0.16,5.95,3
37,00:00,1,2,2.43,0.16,5.35,0
37,03:00,1,2,1.87,0.46,3.65,36
37,06:00,1,2,1.79,0.65,8.25,530
37,09:00,1,2,3.08,1.10,12.35,695
37,12:00,1,2,2.12,-0.02,15.25,760
37,15:00,1,2,1.99,-0.46,15.65,539
37,18:00,1,2,-0.35,-2.44,10.35,10
37,21:00,1,2,-1.10,-1.84,5.55,3
38,00:00,1,2,-1.19,-0.34,2.65,0
38,03:00,1,2,-0.30,1.35,2.65,37
38,06:00,1,2,-0.12,1.42,9.55,520
38,09:00,1,2,1.04,1.81,16.55,679
38,12:00,1,2,2.01,-0.40,20.25,730
38,15:00,1,2,2.30,-2.06,19.25,490
38,18:00,1,2,2.84,-0.17,12.55,0
38,21:00,1,2,1.47,1.04,10.25,0
39,00:00,1,2,2.03,1.50,7.95,0
39,03:00,1,2,2.02,0.93,6.45,36
39,06:00,1,2,1.42,1.21,10.35,470
39,09:00,1,2,4.57,1.17,14.85,564
39,12:00,1,2,5.16,0.30,15.55,560
39,15:00,1,2,5.59,0.11,16.15,408
39,18:00,1,2,2.09,-1.20,12.35,10
39,21:00,1,2,2.97,0.09,8.95,3
40,00:00,1,2,2.56,-0.80,7.75,0
40,03:00,1,2,1.63,0.59,5.55,38
40,06:00,1,2,1.30,0.60,10.45,510
40,09:00,1,2,2.08,-0.69,14.75,672
40,12:00,1,2,1.77,-1.28,18.35,750
40,15:00,1,2,1.50,-1.45,18.35,533
40,18:00,1,2,-0.80,-1.65,12.65,10
40,21:00,1,2,-1.71,-0.35,7.75,4
41,00:00,1,2,-1.76,0.15,5.55,0
41,03:00,1,2,-0.93,0.92,3.75,40
41,06:00,1,2,-0.11,1.14,11.75,520
41,09:00,1,2,-0.08,2.01,18.75,660
41,12:00,1,2,NaN,NaN,NaN,NaN
41,15:00,1,2,NaN,NaN,NaN,NaN
41,18:00,1,2,0.89,-0.97,13.85,10
41,21:00,1,2,0.01,0.12,7.15,4
42,00:00,1,2,0.10,1.80,9.45,0
42,03:00,1,2,0.66,1.88,9.65,38
42,06:00,1,2,0.72,2.23,14.35,520
42,09:00,1,2,1.76,2.64,21.25,675
42,12:00,1,2,3.01,1.91,25.25,740
42,15:00,1,2,4.19,2.12,24.85,523
42,18:00,1,2,1.70,0.39,17.45,10
42,21:00,1,2,2.85,-2.58,15.55,4
43,00:00,1,2,1.83,-0.99,13.25,0
43,03:00,1,2,0.29,-1.23,10.95,12
43,06:00,1,2,-0.56,-0.18,14.35,350
43,09:00,1,2,2.75,1.57,17.95,596
43,12:00,1,2,3.51,-0.36,21.45,730
43,15:00,1,2,2.66,0.11,22.15,467
43,18:00,1,2,-0.45,-0.29,15.25,10
43,21:00,1,2,2.83,-0.70,13.35,3
44,00:00,1,2,3.16,1.04,12.55,0
44,03:00,1,2,3.01,-0.17,11.05,35
44,06:00,1,2,2.68,-0.09,13.25,280
44,09:00,1,2,2.72,-0.29,15.45,502
44,12:00,1,2,1.89,-0.20,17.35,590
44,15:00,1,2,3.68,-0.13,18.05,452
44,18:00,1,2,0.99,-0.89,13.35,10
44,21:00,1,2,0.35,-1.98,10.55,3
45,00:00,1,2,2.49,-1.86,9.85,0
45,03:00,1,2,1.55,-1.28,8.55,8
45,06:00,1,2,2.74,-2.79,6.95,50
45,09:00,1,2,2.01,-2.86,5.25,69
45,12:00,1,2,2.58,-2.30,4.25,150
45,15:00,1,2,-2.23,-3.73,9.35,146
45,18:00,1,2,-0.81,-1.54,9.75,10
45,21:00,1,2,0.75,-2.22,6.75,3
46,00:00,1,2,0.22,-1.32,4.15,0
46,03:00,1,2,1.22,-1.87,5.25,45
46,06:00,1,2,0.95,0.52,8.95,560
46,09:00,1,2,1.82,-0.20,15.45,722
46,12:00,1,2,1.60,-0.75,18.05,760
46,15:00,1,2,3.00,-1.04,17.35,547
46,18:00,1,2,1.22,-1.64,11.95,10
46,21:00,1,2,1.48,-1.80,7.55,5
47,00:00,1,2,0.90,-0.70,8.55,0
47,03:00,1,2,0.83,-0.84,7.95,22
47,06:00,1,2,0.37,-1.20,10.35,210
47,09:00,1,2,0.90,-0.90,11.95,475
47,12:00,1,2,1.06,-1.15,17.45,710
47,15:00,1,2,1.43,-1.43,17.15,506
47,18:00,1,2,0.28,-1.66,12.25,10
47,21:00,1,2,-0.12,-1.80,7.35,5
48,00:00,1,2,-0.68,-0.88,4.85,0
48,03:00,1,2,-0.41,0.03,1.95,45
48,06:00,1,2,0.24,1.20,10.65,550
48,09:00,1,2,1.63,1.47,16.45,720
48,12:00,1,2,3.06,1.37,19.95,780
48,15:00,1,2,4.25,0.84,19.65,562
48,18:00,1,2,0.96,-0.12,11.95,10
48,21:00,1,2,2.78,0.27,9.95,6
49,00:00,1,2,2.50,1.15,9.25,0
49,03:00,1,2,2.83,0.45,8.65,31
49,06:00,1,2,3.17,0.20,11.55,150
49,09:00,1,2,3.34,-2.41,11.15,227
49,12:00,1,2,2.57,-0.89,10.55,440
49,15:00,1,2,4.68,0.28,12.65,335
49,18:00,1,2,2.08,-0.75,9.65,10
49,21:00,1,2,1.04,-0.65,4.25,5
50,00:00,1,2,0.95,-0.10,5.55,0
50,03:00,1,2,0.55,1.85,5.35,19
50,06:00,1,2,0.87,1.91,7.05,280
50,09:00,1,2,2.73,-0.31,6.95,331
50,12:00,1,2,1.10,-2.24,8.45,520
50,15:00,1,2,1.85,-2.27,8.85,382
50,18:00,1,2,0.11,-1.19,5.95,10
50,21:00,1,2,0.84,-1.09,3.05,3
51,00:00,1,2,0.83,-2.23,3.35,0
51,03:00,1,2,0.83,-1.72,2.45,44
51,06:00,1,2,0.53,-2.60,5.65,500
51,09:00,1,2,-1.42,-3.88,10.45,683
51,12:00,1,2,-1.35,-3.49,11.95,780
51,15:00,1,2,-1.56,-3.88,11.85,565
51,18:00,1,2,-0.65,-0.11,5.75,10
51,21:00,1,2,-0.46,-1.38,0.25,7
52,00:00,1,2,-1.75,-1.68,2.15,0
52,03:00,1,2,-1.21,-2.47,2.35,51
52,06:00,1,2,-1.91,-2.56,7.45,580
52,09:00,1,2,-3.65,-2.43,12.15,739
52,12:00,1,2,-2.05,-2.71,14.85,800
52,15:00,1,2,-3.48,-3.14,14.75,565
52,18:00,1,2,-0.28,-0.35,7.75,10
52,21:00,1,2,-0.90,-1.30,3.95,6
53,00:00,1,2,-1.45,-2.65,5.75,0
53,03:00,1,2,-1.23,-2.31,4.65,45
53,06:00,1,2,-0.94,-1.59,9.15,530
53,09:00,1,2,-3.88,-2.75,13.85,695
53,12:00,1,2,-3.55,-1.20,14.95,590
53,15:00,1,2,-3.18,-3.39,15.35,465
53,18:00,1,2,-1.03,-0.94,11.15,10
53,21:00,1,2,-0.58,-1.87,7.55,5
54,00:00,1,2,-0.53,-2.55,6.55,0
54,03:00,1,2,-0.90,-1.92,5.65,48
54,06:00,1,2,-1.55,-1.02,10.55,550
54,09:00,1,2,-3.48,-0.36,14.75,674
54,12:00,1,2,-2.98,-1.14,16.35,640
54,15:00,1,2,-3.37,-0.66,16.85,430
54,18:00,1,2,-1.49,0.05,12.05,10
54,21:00,1,2,-1.40,0.05,5.05,4
55,00:00,1,2,-0.62,0.48,2.55,0
55,03:00,1,2,0.50,0.16,1.65,49
55,06:00,1,2,0.45,0.85,11.95,410
55,09:00,1,2,1.64,0.22,14.15,523
55,12:00,1,2,1.44,-0.64,14.35,570
55,15:00,1,2,2.98,-1.90,14.15,342
55,18:00,1,2,0.29,-0.51,10.05,10
55,21:00,1,2,1.34,-0.47,8.05,5
56,00:00,1,2,2.18,-1.21,6.65,0
56,03:00,1,2,1.38,-1.68,5.85,42
56,06:00,1,2,0.73,-1.86,9.05,250
56,09:00,1,2,0.18,-2.80,9.65,351
56,12:00,1,2,0.82,-1.03,10.75,430
56,15:00,1,2,1.08,-2.61,10.55,327
56,18:00,1,2,0.11,-2.34,8.85,10
56,21:00,1,2,0.13,-1.88,7.05,5
57,00:00,1,2,-0.21,-2.20,3.05,0
57,03:00,1,2,0.10,-1.49,0.25,52
57,06:00,1,2,0.22,-1.64,7.45,430
57,09:00,1,2,0.45,-1.85,9.75,420
57,12:00,1,2,1.00,-0.90,12.55,500
57,15:00,1,2,1.24,-1.47,12.95,415
57,18:00,1,2,-0.23,-1.19,9.25,20
57,21:00,1,2,-0.52,-1.56,4.45,8
58,00:00,1,2,-0.99,0.12,-0.35,0
58,03:00,1,2,-0.20,0.91,-0.55,50
58,06:00,1,2,0.52,0.87,8.95,550
58,09:00,1,2,2.33,1.20,14.85,723
58,12:00,1,2,3.09,0.92,18.15,810
58,15:00,1,2,4.24,0.14,18.05,584
58,18:00,1,2,2.15,-0.12,13.55,10
58,21:00,1,2,2.57,-0.23,9.45,7
59,00:00,1,2,0.98,0.48,5.15,0
59,03:00,1,2,0.67,0.87,4.55,48
59,06:00,1,2,-0.52,1.29,11.25,290
59,09:00,1,2,1.51,2.66,15.85,567
59,12:00,1,2,3.10,2.69,18.75,770
59,15:00,1,2,5.81,2.23,18.35,567
59,18:00,1,2,2.68,-1.88,14.35,20
59,21:00,1,2,1.85,-0.87,8.35,9
60,00:00,1,2,1.89,0.88,7.25,0
60,03:00,1,2,2.50,1.50,8.05,38
60,06:00,1,2,3.11,1.40,11.45,480
60,09:00,1,2,5.11,0.27,13.85,533
60,12:00,1,2,2.99,-0.75,13.35,580
60,15:00,1,2,3.90,-1.88,14.55,435
60,18:00,1,2,0.87,-1.39,11.95,10
60,21:00,1,2,0.53,-0.81,3.65,7
61,00:00,1,2,-0.45,1.48,5.75,0
61,03:00,1,2,0.43,1.47,4.95,51
61,06:00,1,2,0.31,1.29,11.05,520
61,09:00,1,2,2.71,1.40,16.45,679
61,12:00,1,2,2.56,1.49,19.35,740
61,15:00,1,2,4.56,1.62,19.45,538
61,18:00,1,2,1.57,0.33,14.65,20
61,21:00,1,2,2.05,0.68,10.15,8
62,00:00,1,2,1.74,1.88,10.35,0
62,03:00,1,2,1.61,1.89,10.15,52
62,06:00,1,2,1.14,1.94,14.65,550
62,09:00,1,2,4.20,2.57,17.75,617
62,12:00,1,2,3.35,0.59,17.55,630
62,15:00,1,2,4.16,-0.21,17.85,493
62,18:00,1,2,-0.02,-1.04,13.85,20
62,21:00,1,2,1.06,0.50,6.55,9
63,00:00,1,2,0.55,2.82,9.85,0
63,03:00,1,2,0.59,1.68,8.95,45
63,06:00,1,2,1.02,1.79,13.75,510
63,09:00,1,2,3.57,2.82,18.55,686
63,12:00,1,2,4.84,2.77,21.55,780
63,15:00,1,2,4.85,1.27,21.75,573
63,18:00,1,2,1.71,0.99,17.65,20
63,21:00,1,2,2.07,1.14,13.45,9
64,00:00,1,2,1.83,1.90,14.35,0
64,03:00,1,2,1.75,1.48,12.95,54
64,06:00,1,2,2.23,1.39,16.85,560
64,09:00,1,2,3.75,0.95,21.05,721
64,12:00,1,2,3.57,-0.43,24.55,790
64,15:00,1,2,3.25,-1.89,23.45,577
64,18:00,1,2,1.29,-1.62,18.95,20
64,21:00,1,2,0.63,-2.17,14.45,10
65,00:00,1,2,-0.34,-1.27,10.55,0
65,03:00,1,2,-1.10,-0.76,9.65,54
65,06:00,1,2,-1.28,-0.54,15.05,560
65,09:00,1,2,-1.88,-0.11,21.55,720
65,12:00,1,2,-1.66,-1.12,25.65,790
65,15:00,1,2,-2.43,-1.55,25.45,565
65,18:00,1,2,-1.87,-0.61,20.55,20
65,21:00,1,2,-1.87,-0.33,15.35,10
66,00:00,1,2,-1.47,0.48,13.05,0
66,03:00,1,2,-1.14,-0.13,11.15,54
66,06:00,1,2,-0.74,0.70,18.25,560
66,09:00,1,2,-1.57,0.75,24.75,713
66,12:00,1,2,-1.03,0.39,29.05,770
66,15:00,1,2,-0.06,-1.08,27.55,558
66,18:00,1,2,-1.26,-0.52,22.25,20
66,21:00,1,2,-0.62,-0.39,14.05,9
67,00:00,1,2,0.58,1.39,14.45,0
67,03:00,1,2,1.33,2.02,15.45,52
67,06:00,1,2,-0.44,1.67,18.95,560
67,09:00,1,2,1.81,0.22,25.15,719
67,12:00,1,2,0.90,-0.78,28.85,780
67,15:00,1,2,1.29,-4.00,23.85,530
67,18:00,1,2,0.48,-1.40,19.65,20
67,21:00,1,2,0.99,-2.16,16.45,8
68,00:00,1,2,0.48,-0.40,12.87,0
68,03:00,1,2,-0.33,-1.16,12.95,44
68,06:00,1,2,-0.23,-0.23,18.55,520
68,09:00,1,2,-1.22,-2.61,20.45,653
68,12:00,1,2,-1.18,-1.97,22.05,720
68,15:00,1,2,-1.45,-3.02,20.45,476
68,18:00,1,2,-1.99,-2.72,18.95,10
68,21:00,1,2,-1.33,-3.02,16.34,4
69,00:00,1,2,-0.31,-2.43,15.12,0
69,03:00,1,2,-0.96,-1.77,14.55,16
69,06:00,1,2,-0.15,-1.52,14.05,50
69,09:00,1,2,0.40,-2.14,13.05,88
69,12:00,1,2,-0.71,-2.67,13.65,410
69,15:00,1,2,-2.05,-4.02,14.35,254
69,18:00,1,2,-1.28,-3.23,11.85,0
69,21:00,1,2,-1.56,-2.39,9.65,2
70,00:00,1,2,-1.25,-1.45,9.55,0
70,03:00,1,2,-2.74,-2.08,9.65,24
70,06:00,1,2,-1.92,-2.30,10.85,370
